,0,1,2,3,4,5,6,7,8,val
327,X,O, , ,O, , ,X, ,0.8440702865199022
328,X,O, , , ,O, ,X, ,0.7733379806859351
329,X,O, , , , , ,X,O,6.813477090714769e-06
330,X,O,O,X, , , ,X, ,0.4785210998535156
331,X,O,O, ,X, , ,X, ,0.0005246207428423054
332,X,O,O, , ,X, ,X, ,0.35316481933593746
333,X,O,O, , , ,X,X, ,0.0
334,X,O,O, , , , ,X,X,0.8940642097182397
335,X,O,O,X,O, , ,X, ,0.2887109375
336,X,O,O,X, ,O, ,X, ,0.16569335937499996
337,X,O,O,X, , ,O,X, ,0.21434374999999997
338,X,O,O,X, , , ,X,O,0.6494140625
339,X,O,O,X,O,X,O,X, ,-0.9943622898863396
340,X,O,O,X,O,X, ,X,O,0.9274305991828442
341,X,O,O,X,O,X, ,X, ,-0.5204125976562499
342,X,O, , , , , ,X, ,0.26292419787419796
343,X,O,X, , , , , , ,-0.019064792150871424
344,X,O, ,X, , , , , ,0.4216253170140142
345,X,O, , ,X, , , , ,0.5693875012918883
346,X,O, , , ,X, , , ,0.42631927743764786
347,X,O, , , , ,X, , ,0.8125089651501173
348,X,O, , , , , , ,X,-0.2513072429837928
349,X,O,X,O, , , , , ,0.36224375421544375
350,X,O,X, , ,O, , , ,0.8184502581461979
351,X,O,X, , , ,O, , ,-0.015095976989331423
352,X,O,X, , , , ,O, ,0.2802615090808986
353,X,O,X, , , , , ,O,0.831647753838264
354,X,O,X,X, , , , ,O,0.04015640258789062
355,X,O,X, ,X, , , ,O,0.005579997199862051
356,X,O,X, , ,X, , ,O,-0.36904959602355947
357,X,O,X, , , ,X, ,O,0.8863274614327421
358,X,O,X, , , , ,X,O,1.1715453356435223e-21
359,X,O,X,O,X, , , ,O,0.9455992300447891
360,X,O,X, ,X,O, , ,O,0.9180348667057371
361,X,O,X, ,X, ,O, ,O,-0.018061008969711415
362,X,O,X, ,X, , ,O,O,0.8656108741462231
363,X,O,X, ,X, ,X,O,O,0.9999999999997594
364, ,X, , , ,X, ,O, ,-0.1372885590936999
365, , , ,X, ,X, ,O, ,-0.1149678236436843
366, , , , ,X,X, ,O, ,0.521678112971096
367, , , , , ,X,X,O, ,0.044047789438063124
368, , , , , ,X, ,O,X,0.03314643277791651
369,O, , , , ,X,X,O, ,0.5216674743652343
370, ,O, , , ,X,X,O, ,0.3017890317428857
371, , ,O, , ,X,X,O, ,0.281326171875
372, , , ,O, ,X,X,O, ,0.7202977385413646
373, , , , ,O,X,X,O, ,0.1934452343747971
374, , , , , ,X,X,O,O,0.6450993322753905
375,O, , , ,X,X,X,O,O,0.8953923723697661
376, ,O, , ,X,X,X,O,O,0.9116956917718053
377, , ,O, ,X,X,X,O,O,0.9494638127860575
378, , , ,O,X,X,X,O,O,0.9446105157593451
379,O, , ,X,X,X,X,O,O,0.99982141790983
380, , , , ,X,X,X,O,O,0.8843490575649834
381,X,O,X,X, ,O, , , ,0.0
382,X,O,X, ,X,O, , , ,0.8723810414554225
383,X,O,X, , ,O,X, , ,0.5257295248338185
384,X,O,X, , ,O, ,X, ,0.01212781598908477
385,X,O,X, , ,O, , ,X,-0.8534476742366814
386,X,O,X,O, ,O,X, , ,0.6959213867187499
387,X,O,X, ,O,O,X, , ,0.6863469862309284
388,X,O,X, , ,O,X,O, ,0.9069927528873085
389,X,O,X, , ,O,X, ,O,0.9275356690715998
390,X,O,X,X,O,O,X, , ,0.9999761621685057
391,X,O,X, ,O,O,X,X, ,-0.737379845876128
392,X,O,X, ,O,O,X, ,X,-0.9274305991828442
393,X,O,X, ,O, ,O, ,X,0.7953908714894973
394,X, ,X,O,O, ,O, ,X,0.9382811582119338
395,X, ,X, ,O,O,O, ,X,0.9494586056560851
396,X,X,X,O,O, ,O, ,X,0.68359375
397,X, ,X,O,O,X,O, ,X,0.9999682162246744
398,X, ,X,O,O, ,O,X,X,-0.9003473182022571
399,X,O,X,O,O, ,O,X,X,0.949999982957946
400,X, ,X,O,O,O,O,X,X,-0.9999992449044581
401,X,O,X,O,O,X,O,X,X,0.9999999999999998
402,X, ,X, ,O, ,O, ,X,0.7603631790896643
403,X,X, ,X,O, , , ,O,0.8681393575013259
404,X, ,X,X,O, , , ,O,0.8853099087895229
405,X, , ,X,O,X, , ,O,-0.6590944417521061
406,X, , ,X,O, ,X, ,O,0.9999999999999998
407,X, , ,X,O, , ,X,O,-0.08797542432080221
408,X,O, ,X,O,X, , ,O,0.6494140625
409,X, ,O,X,O,X, , ,O,0.6831712722778319
410,X, , ,X,O,X,O, ,O,-0.8969248735240876
411,X, , ,X,O,X, ,O,O,0.41562499999999997
412,X,X,O,X,O,X, , ,O,-0.5530035682022572
413,X, ,O,X,O,X,X, ,O,0.9999821216263793
414,X, ,O,X,O,X, ,X,O,-0.9135317882870329
415,X, ,O,X,O,X,O,X,O,-0.9999999998651535
416,O,X, , , ,X, , , ,-0.6112231908821176
417,O, ,X, , ,X, , , ,0.5961505035940805
418,O, , ,X, ,X, , , ,-0.61974726240399
419,O, , , ,X,X, , , ,-0.21434375000001385
420,O, , , , ,X,X, , ,-0.04609714410901067
421,O, , , , ,X, ,X, ,-0.7357662996929706
422,O, , , , ,X, , ,X,-0.7591225245304933
423,O,O, , , ,X, , ,X,0.2375
424,O, ,O, , ,X, , ,X,-0.8172987630175015
